# Метеостанция Тырныауз, Россия, WMO_ID=37206, выборка с 20.11.2013 по 31.12.2021, все дни
# Кодировка: UTF-8
# Информация предоставлена сайтом "Расписание Погоды", rp5.ru
# Пожалуйста, при использовании данных, любезно указывайте названный сайт.
# Обозначения метеопараметров см. по адресу http://rp5.ru/archive.php?wmo_id=37206&lang=ru
#
"Местное время в Тырныаузе";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"31.12.2021 21:00";"-1.0";"652.1";"";"";"47";"Ветер, дующий с юга";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-11.0";"";"";"";"";"";"";
"31.12.2021 18:00";"-1.2";"652.2";"";"";"61";"Ветер, дующий с юга";"2";"";"";"";" ";"";"";"";"2.9";"";"";"";"";"";"";"-7.8";"Осадков нет";"12";"";"";"";"";
"31.12.2021 15:00";"1.5";"651.6";"";"";"47";"Штиль, безветрие";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-8.8";"";"";"";"";"";"";
"31.12.2021 12:00";"0.9";"652.3";"";"";"35";"Ветер, дующий с юга";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-12.9";"";"";"";"";"";"";
"31.12.2021 09:00";"-3.1";"653.2";"";"";"45";"Ветер, дующий с юга";"6";"";"";"";" ";"";"";"-3.6";"";"";"";"";"";"";"";"-13.4";"";"";"";"";"";"";
"31.12.2021 06:00";"-3.3";"652.6";"";"";"47";"Ветер, дующий с юга";"7";"";"";"";" ";"";"";"-3.5";"";"";"";"";"";"";"";"-13.2";"Осадков нет";"12";"";"";"";"";
"31.12.2021 03:00";"-2.3";"652.7";"";"";"45";"Ветер, дующий с юга";"5";"";"10";"";" ";"";"";"";"";"";"";"";"";"";"";"-12.8";"";"";"";"";"";"";
"31.12.2021 00:00";"-1.8";"652.9";"";"";"47";"Ветер, дующий с юга";"6";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-11.8";"";"";"";"";"";"";
"30.12.2021 21:00";"-0.2";"653.2";"";"";"44";"Ветер, дующий с юга";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-11.0";"";"";"";"";"";"";
"30.12.2021 18:00";"0.5";"652.6";"";"";"52";"Ветер, дующий с юга";"4";"";"";"";" ";"";"";"";"1.0";"";"";"";"";"";"";"-8.3";"Осадков нет";"12";"";"";"";"";
"30.12.2021 15:00";"-0.2";"651.7";"";"";"67";"Ветер, дующий с юга";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-5.6";"";"";"";"";"";"";
"30.12.2021 12:00";"-0.7";"652.0";"";"";"43";"Ветер, дующий с юга";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-11.8";"";"";"";"";"";"";
"30.12.2021 09:00";"-2.4";"652.4";"";"";"47";"Ветер, дующий с юга";"6";"";"";"";" ";"";"";"-2.7";"";"";"";"";"";"";"";"-12.4";"";"";"";"";"";"";
"30.12.2021 06:00";"-1.4";"651.4";"";"";"43";"Ветер, дующий с юга";"5";"";"";"";" ";"";"";"-1.9";"";"";"";"";"";"";"";"-12.6";"Осадков нет";"12";"";"";"";"";
"30.12.2021 03:00";"-1.6";"651.6";"";"";"48";"Ветер, дующий с юга";"7";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-11.4";"";"";"";"";"";"";
"30.12.2021 00:00";"0.3";"651.3";"";"";"46";"Ветер, дующий с юга";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-10.0";"";"";"";"";"";"";
"29.12.2021 21:00";"1.1";"651.5";"";"";"51";"Ветер, дующий с юга";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-8.1";"";"";"";"";"";"";
"29.12.2021 18:00";"1.8";"651.4";"";"";"61";"Ветер, дующий с юга";"4";"";"";"";" ";"";"";"";"6.4";"";"";"";"";"";"";"-4.9";"Осадков нет";"12";"";"";"";"";
"29.12.2021 15:00";"4.6";"650.4";"";"";"51";"Ветер, дующий с северо-северо-востока";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-4.8";"";"";"";"";"";"";
"29.12.2021 12:00";"3.1";"650.6";"";"";"46";"Ветер, дующий с юга";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-7.4";"";"";"";"";"";"";
"29.12.2021 09:00";"0.5";"652.0";"";"";"53";"Ветер, дующий с юго-юго-запада";"7";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-8.0";"";"";"";"";"";"";
"29.12.2021 06:00";"-0.4";"651.2";"";"";"60";"Ветер, дующий с юга";"3";"";"";"";" ";"";"";"-1.2";"";"";"";"";"";"";"";"-7.2";"Осадков нет";"12";"";"";"";"";
"29.12.2021 03:00";"0.1";"650.8";"";"";"59";"Ветер, дующий с юга";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-7.0";"";"";"";"";"";"";
"29.12.2021 00:00";"-0.1";"650.3";"";"";"62";"Ветер, дующий с юга";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-6.6";"";"";"";"";"";"";
"28.12.2021 21:00";"-0.1";"651.0";"";"";"64";"Ветер, дующий с юга";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-6.2";"";"";"";"";"";"";
"28.12.2021 18:00";"-0.2";"651.4";"";"";"70";"Ветер, дующий с юга";"3";"";"";"";" ";"";"";"";"4.8";"";"";"";"";"";"";"-5.0";"Осадков нет";"12";"";"";"";"";
"28.12.2021 15:00";"4.7";"651.1";"";"";"49";"Ветер, дующий с севера";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-5.3";"";"";"";"";"";"";
"28.12.2021 12:00";"0.4";"652.2";"";"";"56";"Ветер, дующий с юга";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-7.4";"";"";"";"";"";"";
"28.12.2021 09:00";"0.0";"654.0";"";"";"56";"Ветер, дующий с юга";"5";"";"";"";" ";"";"";"-0.7";"";"";"";"";"";"";"";"-7.8";"";"";"";"";"";"";
"28.12.2021 06:00";"0.5";"654.0";"";"";"55";"Ветер, дующий с юга";"4";"";"";"";" ";"";"";"0.0";"";"";"";"";"";"";"";"-7.5";"Осадков нет";"12";"";"";"";"";
"28.12.2021 03:00";"0.6";"654.5";"";"";"57";"Ветер, дующий с юга";"6";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-7.0";"";"";"";"";"";"";
"28.12.2021 00:00";"1.4";"654.3";"";"";"55";"Ветер, дующий с юга";"6";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-6.8";"";"";"";"";"";"";
"27.12.2021 21:00";"2.2";"654.2";"";"";"53";"Ветер, дующий с юга";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-6.5";"";"";"";"";"";"";
"27.12.2021 18:00";"1.8";"654.1";"";"";"59";"Ветер, дующий с юга";"4";"";"";"";" ";"";"";"";"5.1";"";"";"";"";"";"";"-5.4";"Осадков нет";"12";"";"";"";"";
"27.12.2021 15:00";"0.1";"652.9";"";"";"72";"Ветер, дующий с юга";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-4.4";"";"";"";"";"";"";
"27.12.2021 12:00";"4.8";"652.9";"";"";"42";"Ветер, дующий с юга";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-7.3";"";"";"";"";"";"";
"27.12.2021 09:00";"-0.3";"653.8";"";"";"56";"Ветер, дующий с юга";"5";"";"";"";" ";"";"";"-3.3";"";"";"";"";"";"";"";"-8.0";"";"";"";"";"";"";
